city_id,period_start,wait_time,treat,commute,trips_pool,trips_express_pool,rider_cancellations,total_driver_payout_sr,total_matches_sr,total_double_matches_sr,revenue
Boston,2/21/18 23:00,2 mins,FALSE,FALSE,1257,2569,165,27119.77443,2209,1331,30397.29546
Boston,2/22/18 1:40,5 mins,TRUE,FALSE,1300,2120,161,22838.55007,2182,727,29001.84483
Boston,2/22/18 4:20,2 mins,FALSE,FALSE,1269,2192,111,24991.3927,2017,1097,28024.24956
Boston,2/22/18 7:00,5 mins,TRUE,TRUE,1506,2386,283,28578.28309,2663,1442,36845.17711
Boston,2/22/18 9:40,2 mins,FALSE,FALSE,1521,2061,152,25849.74863,2125,829,29558.61818
Boston,2/22/18 12:20,5 mins,TRUE,FALSE,1748,2280,176,27394.13257,2167,1485,35569.86983
Boston,2/22/18 15:00,2 mins,FALSE,TRUE,1509,4502,348,48598.42196,5015,2536,58880.2692
Boston,2/22/18 17:40,5 mins,TRUE,FALSE,1560,2237,165,24971.69964,2077,1489,32640.52968
Boston,2/22/18 20:20,2 mins,FALSE,FALSE,1610,2250,151,28005.42303,2163,955,34515.76321
Boston,2/22/18 23:00,5 mins,TRUE,FALSE,1015,2541,188,25497.89668,2357,1273,30854.65427
Boston,2/23/18 1:40,2 mins,FALSE,FALSE,983,2018,121,23765.41076,1936,740,25035.6394
Boston,2/23/18 4:20,5 mins,TRUE,FALSE,1320,2048,140,21878.91896,2145,1145,27707.00634
Boston,2/23/18 7:00,2 mins,FALSE,TRUE,1170,3582,224,34073.77011,3816,1621,44833.81717
Boston,2/23/18 9:40,5 mins,TRUE,FALSE,1259,2481,175,26381.09939,2589,1564,32577.92794
Boston,2/23/18 12:20,2 mins,FALSE,FALSE,1637,2669,182,34029.03103,2590,1352,36690.2545
Boston,2/23/18 15:00,5 mins,TRUE,TRUE,1172,3948,324,37425.68796,4197,2744,51369.51909
Boston,2/23/18 17:40,2 mins,FALSE,FALSE,1363,2390,178,24968.47298,2424,981,34191.16555
Boston,2/23/18 20:20,5 mins,TRUE,FALSE,1627,1993,170,28520.28317,1742,1387,32203.9994
Boston,2/23/18 23:00,2 mins,FALSE,FALSE,1370,2475,140,30714.88433,2742,1127,32513.74518
Boston,2/24/18 1:40,5 mins,TRUE,FALSE,1348,2290,169,23742.41508,2272,1058,31257.53493
Boston,2/24/18 4:20,2 mins,FALSE,FALSE,778,2524,102,23557.36279,2616,1351,26160.69519
Boston,2/24/18 7:00,5 mins,TRUE,FALSE,1287,2145,162,20428.22064,2230,997,30087.38212
Boston,2/24/18 9:40,2 mins,FALSE,FALSE,1277,2627,173,29633.43504,2603,1108,32384.26484
Boston,2/24/18 12:20,5 mins,TRUE,FALSE,1603,2563,179,32099.15363,2479,1334,36159.90044
Boston,2/24/18 15:00,2 mins,FALSE,FALSE,1417,2440,140,25029.81798,2572,1250,30302.74513
Boston,2/24/18 17:40,5 mins,TRUE,FALSE,1589,2581,170,27314.54858,2366,1298,33619.73522
Boston,2/24/18 20:20,2 mins,FALSE,FALSE,1203,2666,189,26722.51781,2967,1543,32221.32658
Boston,2/24/18 23:00,5 mins,TRUE,FALSE,934,2446,138,21763.24537,2346,1190,26282.70733
Boston,2/25/18 1:40,2 mins,FALSE,FALSE,1062,2491,99,22146.18878,2732,1280,30836.00628
Boston,2/25/18 4:20,5 mins,TRUE,FALSE,1007,2141,161,22084.63524,2293,1248,27698.34363
Boston,2/25/18 7:00,2 mins,FALSE,FALSE,1745,2502,162,28165.19987,2507,1024,35944.93776
Boston,2/25/18 9:40,5 mins,TRUE,FALSE,1513,3058,204,31147.50598,3117,1669,40592.3105
Boston,2/25/18 12:20,2 mins,FALSE,FALSE,1262,2460,117,28532.79247,2309,1096,30804.14815
Boston,2/25/18 15:00,5 mins,TRUE,FALSE,1596,1905,154,23991.5572,1934,1297,29171.7006
Boston,2/25/18 17:40,2 mins,FALSE,FALSE,1310,2740,186,31283.06005,2911,1692,34517.54644
Boston,2/25/18 20:20,5 mins,TRUE,FALSE,1419,2248,145,25228.17512,2213,1115,30045.42792
Boston,2/25/18 23:00,2 mins,FALSE,FALSE,1250,3287,164,31735.50288,3210,1858,35186.45453
Boston,2/26/18 1:40,5 mins,TRUE,FALSE,1442,2002,174,24960.84044,1864,1164,28433.03577
Boston,2/26/18 4:20,2 mins,FALSE,FALSE,1401,2363,151,26989.54936,2357,805,34234.46899
Boston,2/26/18 7:00,5 mins,TRUE,TRUE,1737,2752,279,38014.24558,3122,1383,44784.76397
Boston,2/26/18 9:40,2 mins,FALSE,FALSE,1248,2240,130,25675.25892,2166,1193,30005.05844
Boston,2/26/18 12:20,5 mins,TRUE,FALSE,1411,2512,200,28695.20779,2466,1476,32793.51206
Boston,2/26/18 15:00,2 mins,FALSE,TRUE,1465,2901,193,33550.232,2813,1045,40236.2524
Boston,2/26/18 17:40,5 mins,TRUE,FALSE,1495,2937,209,23563.37841,2973,1810,39075.20681
Boston,2/26/18 20:20,2 mins,FALSE,FALSE,1548,2231,165,25191.89616,2424,1227,32701.82993
Boston,2/26/18 23:00,5 mins,TRUE,FALSE,1919,2526,199,29673.23477,2737,1418,38028.66105
Boston,2/27/18 1:40,2 mins,FALSE,FALSE,1003,2609,161,26596.24984,2733,1169,28624.98373
Boston,2/27/18 4:20,5 mins,TRUE,FALSE,1411,1859,158,19162.20513,1581,1417,29896.9305
Boston,2/27/18 7:00,2 mins,FALSE,TRUE,1478,3793,281,41707.53638,4054,2038,49408.65197
Boston,2/27/18 9:40,5 mins,TRUE,FALSE,1358,2064,196,22518.40805,2091,1186,27262.2433
Boston,2/27/18 12:20,2 mins,FALSE,FALSE,1130,2278,97,23695.53998,2238,945,28784.74013
Boston,2/27/18 15:00,5 mins,TRUE,TRUE,1244,3639,291,32679.1446,3842,1681,46149.1393
Boston,2/27/18 17:40,2 mins,FALSE,FALSE,981,2667,119,24058.36707,2546,1057,29506.53538
Boston,2/27/18 20:20,5 mins,TRUE,FALSE,1468,2244,166,25675.42636,2306,1235,34076.72459
Boston,2/27/18 23:00,2 mins,FALSE,FALSE,1667,1931,165,27874.70206,1891,1209,31494.32291
Boston,2/28/18 1:40,5 mins,TRUE,FALSE,819,2419,179,18761.99299,2191,1664,26022.6761
Boston,2/28/18 4:20,2 mins,FALSE,FALSE,1063,2272,140,22717.79857,2220,1389,27713.89454
Boston,2/28/18 7:00,5 mins,TRUE,TRUE,1392,3041,310,34273.22001,3441,1982,45985.33507
Boston,2/28/18 9:40,2 mins,FALSE,FALSE,1476,2743,156,30149.75831,2687,1329,36534.33256
Boston,2/28/18 12:20,5 mins,TRUE,FALSE,1168,2127,151,26222.06369,2204,1034,26452.30293
Boston,2/28/18 15:00,2 mins,FALSE,TRUE,1711,3857,294,44884.99419,4234,1993,52407.84133
Boston,2/28/18 17:40,5 mins,TRUE,FALSE,1419,2535,170,28319.32604,2491,997,32214.09265
Boston,2/28/18 20:20,2 mins,FALSE,FALSE,1524,2606,150,30536.60063,2552,1241,36281.47996
Boston,2/28/18 23:00,5 mins,TRUE,FALSE,1556,1918,154,24714.48252,1802,1421,28592.90224
Boston,3/1/18 1:40,2 mins,FALSE,FALSE,1084,2504,160,24732.10545,2606,1279,28931.89903
Boston,3/1/18 4:20,5 mins,TRUE,FALSE,1104,2517,141,25927.74359,2335,1631,28594.12303
Boston,3/1/18 7:00,2 mins,FALSE,TRUE,1487,3211,175,38599.55351,3409,1858,46145.19184
Boston,3/1/18 9:40,5 mins,TRUE,FALSE,1884,2360,213,31799.24409,2269,1221,37352.57511
Boston,3/1/18 12:20,2 mins,FALSE,FALSE,1377,2955,153,30310.05978,2564,1856,37247.86167
Boston,3/1/18 15:00,5 mins,TRUE,TRUE,1738,3351,323,34645.933,3230,1854,51365.55485
Boston,3/1/18 17:40,2 mins,FALSE,FALSE,1959,2517,191,32919.80668,2682,1047,41761.2911
Boston,3/1/18 20:20,5 mins,TRUE,FALSE,1490,2434,161,27961.57977,2360,1421,35444.22046
Boston,3/1/18 23:00,2 mins,FALSE,FALSE,1199,1955,123,25291.39902,2057,726,26679.51725
Boston,3/2/18 1:40,5 mins,TRUE,FALSE,1295,1966,178,20077.31204,2177,1278,27367.72719
Boston,3/2/18 4:20,2 mins,FALSE,FALSE,1279,1846,137,23454.26955,2035,1001,26374.7973
Boston,3/2/18 7:00,5 mins,TRUE,TRUE,1066,3204,285,32342.82341,3476,1708,43999.18078
Boston,3/2/18 9:40,2 mins,FALSE,FALSE,1294,2245,133,28048.72844,2293,1025,29068.50682
Boston,3/2/18 12:20,5 mins,TRUE,FALSE,1778,2085,160,26963.73431,2023,1427,33137.0186
Boston,3/2/18 15:00,2 mins,FALSE,TRUE,1393,3401,204,34569.79897,3846,1597,44335.5795
Boston,3/2/18 17:40,5 mins,TRUE,FALSE,1419,2454,164,24383.90731,2508,1223,31483.49771
Boston,3/2/18 20:20,2 mins,FALSE,FALSE,1400,2100,166,25026.77164,1936,1120,29959.02813
Boston,3/2/18 23:00,5 mins,TRUE,FALSE,2235,2038,203,29298.25327,1955,1138,36404.49504
Boston,3/3/18 1:40,2 mins,FALSE,FALSE,1422,2284,157,31947.64733,2012,1323,31831.69978
Boston,3/3/18 4:20,5 mins,TRUE,FALSE,1348,2499,188,31208.87534,2442,1410,31973.76432
Boston,3/3/18 7:00,2 mins,FALSE,FALSE,1340,2471,148,28152.73822,2076,1461,32147.49695
Boston,3/3/18 9:40,5 mins,TRUE,FALSE,1718,2724,173,28076.72821,2923,1695,39083.11841
Boston,3/3/18 12:20,2 mins,FALSE,FALSE,1173,2452,194,23004.78402,2367,828,29577.61638
Boston,3/3/18 15:00,5 mins,TRUE,FALSE,1637,2091,160,26809.73668,1990,977,33491.56402
Boston,3/3/18 17:40,2 mins,FALSE,FALSE,1300,3106,179,29813.32696,3073,1842,36854.88319
Boston,3/3/18 20:20,5 mins,TRUE,FALSE,1322,2157,126,27890.23253,2213,1383,28654.77074
Boston,3/3/18 23:00,2 mins,FALSE,FALSE,1095,2396,127,24005.49041,2497,1028,28495.92659
Boston,3/4/18 1:40,5 mins,TRUE,FALSE,1091,2216,143,22759.18173,2275,1061,28339.60579
Boston,3/4/18 4:20,2 mins,FALSE,FALSE,1163,2250,124,31596.01314,2177,1307,29364.47853
Boston,3/4/18 7:00,5 mins,TRUE,FALSE,1506,2055,123,22989.159,1821,1058,29873.59381
Boston,3/4/18 9:40,2 mins,FALSE,FALSE,1159,2797,201,29419.90959,2740,1747,32408.85689
Boston,3/4/18 12:20,5 mins,TRUE,FALSE,1810,1960,202,24329.58356,1984,1520,33307.46141
Boston,3/4/18 15:00,2 mins,FALSE,FALSE,1392,2292,167,28005.25761,2189,891,29964.11382
Boston,3/4/18 17:40,5 mins,TRUE,FALSE,1715,2651,176,28293.52115,2596,1365,37048.21194
Boston,3/4/18 20:20,2 mins,FALSE,FALSE,1310,2331,151,27066.60635,2156,946,29578.29036
Boston,3/4/18 23:00,5 mins,TRUE,FALSE,1151,2353,160,23529.11595,2324,1465,29798.0082
Boston,3/5/18 1:40,2 mins,FALSE,FALSE,1165,2236,129,22998.27027,2257,906,28398.57047
Boston,3/5/18 4:20,5 mins,TRUE,FALSE,1351,2421,201,26020.52602,2369,1006,31452.66272
